Date,Circular_No,Category,Subject,Direction,Stock_Index,Event_Type,VIX_Level,VIX_5D_Change_Pct,Nifty_10D_HVol,Nifty_10D_Return,BankNifty_5D_HVol
2021-11-16,NCL/CMPT/50312,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,15.47,-3.31,10.24,1.0,11.12
2021-12-16,NCL/CMPT/50639,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities Under MWPL,,Multiple Stocks - MWPL,,17.22,3.73,18.21,-1.04,19.69
2022-01-17,NCL/CMPT/51046,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,16.56,-6.33,10.18,3.57,15.96
2022-02-16,NCL/CMPT/51344,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,20.61,11.05,28.78,-2.4,34.81
2022-03-16,NCL/CMPT/51648,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,26.73,-2.69,24.77,0.34,34.52
2022-04-18,NCL/CMPT/52021,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,17.79,-6.37,17.54,0.06,27.55
2022-05-10,NCL/CMPT/52254,Other Margin Circular,Changes to the Framework to Enable Verification of Upfront Collection of Margins from Clients in Cash and Derivatives segments,,See PDF,,22.03,8.63,19.37,-3.85,18.98
2022-05-16,NCL/CMPT/52303,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPl,,Multiple Stocks - MWPL,,23.49,6.63,14.47,-7.72,22.36
2022-06-16,NCL/CMPT/52642,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,22.15,15.73,15.75,-5.63,17.71
2022-07-18,NCL/CMPT/52997,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,17.6,-4.19,11.2,1.35,15.97
2022-08-16,NCL/CMPT/53301,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,17.61,-6.92,6.18,3.15,10.22
2022-09-16,NCL/CMPT/53720,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,18.39,3.78,9.18,1.93,13.35
2023-02-01,NCL/CMPT/55468,Other Margin Circular,Changes to the Framework to Enable Verification of Upfront Collection of Margins from Clients in Cash and Derivatives Segments,,See PDF,,16.88,23.57,12.08,-2.17,22.65
2023-04-26,NCL/COM/56503,Other Margin Circular,Changes to the Framework to Enable Verification of Upfront Collection of Margins from Clients in cash and Derivatives Segments,,See PDF,,11.52,-5.19,6.46,0.26,9.59
2023-04-26,NCL/CMPT/56490,Other Margin Circular,Revised List of Cross Margin Exchange Traded Funds (ETFs),,Nifty50,,11.52,-5.19,6.46,0.26,9.59
2023-04-26,NCL/CMPT/56502,Other Margin Circular,Changes to the Framework to Enable Verification of Upfront Collection of Margins from Clients in Cash and Derivatives Segments,,See PDF,,11.52,-5.19,6.46,0.26,9.59
2023-05-16,NCL/CMPT/56719,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,13.17,3.86,10.11,1.38,17.06
